Person,1998,1999,2006,2008,2009,2010,2011,2012,2013,2014,2015,Total
Зюганов Геннадий Андреевич,124 154,506 247,4 848 452,,2 177 822,12 454 410,2 315 223,2 653 015,3 392 883,4 650 875,6 722 705,39 845 786
Алферов Жорес Иванович,,,3 013 471,,7 581 193,15 540 298,21 066 552,17 144 258,18 133 519,18 455 266,19 705 629,120 640 186
Андреев Андрей Анатольевич,,,1 224 567,,2 504 496,4 990 368,2 177 926,7 167 744,4 368 531,4 332 001,5 775 076,32 540 709
Апарина Алевтина Викторовна,,,1 267 741,,2 248 257,4 254 293,2 593 204,2 248 565,,,,12 612 061
Афонин Юрий Вячеславович,,,828 664,,1 975 954,22 624 465,2 490 131,18 933 796,2 802 082,7 427 273,5 519 191,62 601 556
Гаврилов Сергей Анатольевич,,,66 388,,1 967 510,4 240 119,2 160 089,2 730 915,3 263 364,4 786 969,5 821 647,25 037 000
Горячева  Раиса Вениаминовна,,,150 049,,,235 772,,,,,,385 821
Гостев Руслан Георгиевич,,,1 272 994,,2 706 428,4 708 348,2 580 296,3 098 000,3 264 865,4 802 938,5 506 380,27 940 249
Данилова Нина Петровна,,,602 321,,,427 384,1 127 326,610 546,715 004,938 962,1 180 052,5 601 595
Денисенко Олег Иванович,,,200 989,,2 306 596,4 643 680,2 322 455,2 359 939,2 965 538,4 398 375,5 282 856,24 480 429
Езерский Николай Николаевич,,,4 567 859,,7 812 615,15 814 956,8 728 240,8 485 854,15 298 961,19 730 524,15 475 894,95 914 904
Калашников Леонид Иванович,,,355 806,,,3 112 716,2 695 541,4 806 539,5 294 457,8 782 423,9 840 860,34 888 343
Кашин Борис Сергеевич,,,1 250 293,,3 395 212,6 302 648,3 455 408,3 829 001,6 619 308,8 713 524,14 123 813,47 689 208
Кашин Владимир Иванович,,,1 380 695,,2 198 905,5 061 974,2 405 223,3 080 180,3 498 418,5 094 153,6 505 484,29 225 032
Коломейцев Виктор Андреевич,,,168 000,,2 095 995,4 049 680,2 149 455,2 245 724,2 837 235,4 406 138,5 299 810,23 252 038
Коломейцев Николай Васильевич,,,120 000,,1 958 596,3 923 680,1 962 455,1 999 939,2 477 235,3 882 888,4 786 809,21 111 602
Комоедов Владимир Петрович,,,791 858,,2 317 270,4 715 125,3 961 537,2 894 450,5 732 277,5 056 615,6 720 343,32 189 475
Корниенко Алексей Викторович,,,98 278,,2 135 372,6 055 530,1 987 386,2 197 709,3 195 878,4 604 517,5 485 361,25 760 031
Куликов Александр Дмитриевич,,,108 359,,2 178 982,4 427 795,2 278 328,2 481 281,2 703 257,4 611 777,5 547 396,24 337 175
Куликов Олег Анатольевич,,,804 417,,2 158 690,4 291 794,2 236 915,2 315 473,3 328 268,4 266 487,5 041 904,24 443 948
Левченко Сергей Георгиевич,,,1 175 054,,,5 366 767,3 217 296,3 249 735,3 917 725,6 170 362,6 403 440,29 500 379
Локоть Анатолий Евгеньевич,,,2 007 264,,2 660 252,4 586 840,2 734 508,5 713 729,6 599 107,4 057 495,3 946 446,32 305 642
Мельников Иван Иванович,,,1 263 690,,,4 330 278,2 252 060,4 674 611,2 900 941,4 288 009,5 334 387,25 043 976
Муравленко Сергей Викторович,,,494 360 483,,,944 335 567,279 711 129,258 414 942,399 977 104,426 420 373,565 948 028,3 369 167 627
Никитин Владимир Степанович,,,1 207 264,,,9 688 119,2 533 353,2 973 263,3 211 394,5 383 230,,24 996 623
Аксаков Анатолий Геннадьевич,,,1 375 684,,2 154 220,5 044 916,5 183 250,3 860 121,4 459 927,7 262 484,9 184 063,38 524 664
Беляков Антон Владимирович,,,15 000,,1 959 071,3 917 500,1 965 196,3 009 946,2 492 121,5 925 999,4 687 000,23 971 833
Бесчетнов Константин Викторович,,,88 400,,1 958 596,3 923 680,,,,,,5 970 676
Абельцев Сергей  Николаевич,,,1 207 264,,1 958 596,3 923 680,,,,,,7 089 540
Афанасьева Елена Владимировна,,,1 210 218,,1 963 269,4 842 646,4 241 169,8 735 145,3 819 600,6 456 087,7 017 565,38 285 699
Багдасаров Семен Аркадьевич,,,134 758,,2 151 082,4 411 364,,,,,,6 697 204
Бурков Александр Леонидович,,,852 276,,2 531 909,8 443 339,7 334 381,5 542 779,4 542 436,4 704 390,5 219 645,39 171 155
Гартунг Валерий Карлович,,,2 391 409,,31 003 502,43 137 304,102 595 077,78 799 039,78 997 455,69 865 970,262 561 105,669 350 861
Горячева Светлана Петровна,,,1 455 578,,2 816 290,5 789 761,2 520 170,2 721 893,4 976 989,4 827 850,5 524 258,30 632 790
Новиков Дмитрий Георгиевич,,,328 790,,,4 077 380,4 932 457,2 001 839,2 484 980,4 242 765,4 986 400,23 054 612
Обухов Сергей Павлович,,,517 413,,,4 310 447,2 363 369,2 420 544,2 943 436,4 370 764,5 263 117,22 189 091
Останина Нина Александровна,,,1 207 264,,,3 926 100,,,,,,5 133 364
Паутов Виктор Николаевич,,,3 207 264,,,4 131 348,2 892 455,2 411 208,2 933 263,5 825 531,6 154 608,27 555 677
